,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
145,0,0.591,0.624,0.724,0.101,-7.113,78.008,Step,93
146,1,0.0424,0.629,0.897,0.263,-3.401,161.944,The Middle,78
147,50,0.00453,0.785,0.841,0.104,-4.041,100.034,Who's Laughing Now,70
148,58,0.288,0.504,0.556,0.173,-6.19,81.008,Goodbye to You,36
149,79,0.194,0.729,0.625,0.248,-5.266,146.034,Mo Bamba,9
150,0,0.0983,0.635,0.713,0.301,-5.246,80.937,Hypnotic,1
151,0,0.0583,0.3,0.848,0.192,-4.31,156.559,Love Is Blindness,14
152,20,0.143,0.526,0.871,0.343,-6.407,130.022,We Should Go To France,2
153,0,0.186,0.762,0.559,0.0733,-6.762,94.012,Come Home,4
154,72,0.0204,0.708,0.618,0.062,-4.424,123.013,Fetish (feat. Gucci Mane),58
155,78,0.0153,0.581,0.662,0.111,-5.239,93.023,Swervin (feat. 6ix9ine),96
156,62,0.247,0.888,0.515,0.446,-6.246,141.009,Bigger Than You (feat. Drake & Quavo),9
157,77,0.74,0.905,0.389,0.106,-14.505,120.046,bury a friend,51
158,0,0.378,0.336,0.47,0.0953,-10.541,154.649,Where the Wild Roses Grow,8
159,78,0.0422,0.775,0.585,0.077,-9.516,109.942,Instant Crush (feat. Julian Casablancas),16
160,0,0.969,0.377,0.0374,0.0595,-14.636,63.747,If You Wait - 1,45
161,63,0.00155,0.666,0.899,0.0677,-4.676,122.05,Break Your Heart,76
162,0,0.0192,0.646,0.696,0.0762,-5.572,92.88,Gold Digger,27
163,58,0.016,0.452,0.976,0.0985,-4.349,123.035,By the Way,57
164,73,0.121,0.7,0.872,0.103,-5.896,125.03,So Close,76
165,56,0.103,0.707,0.632,0.0841,-7.031,97.04,Say Something (feat. Chris Stapleton),16
166,65,0.143,0.646,0.882,0.335,-5.648,120.837,The Way,9
167,0,0.0972,0.313,0.853,0.169,-5.808,119.946,Suburban War,14
168,55,0.0195,0.697,0.861,0.111,-3.798,136.987,Love Cherry Motion,76
169,54,0.0781,0.74,0.848,0.375,-6.437,113.381,Should I Stay or Should I Go - Remastered,9
170,39,0.511,0.602,0.148,0.121,-13.305,81.042,Hydrangea,77
171,0,0.402,0.596,0.539,0.671,-8.783,146.734,Spanish Doll,42
172,71,0.238,0.67,0.558,0.106,-9.159,80.511,Sex & Candy,16
173,57,0.53,0.709,0.311,0.0976,-13.637,115.147,"Rainbow Connection - From ""The Muppet Movie""/Soundtrack Version",51
174,51,0.231,0.596,0.763,0.2,-4.99,159.958,I Know Places,43
175,50,0.327,0.727,0.484,0.307,-12.892,82.962,S.W.A.K.,20
176,43,0.00219,0.618,0.743,0.158,-4.688,118.984,Hello Seattle,18
177,81,0.872,0.656,0.291,0.114,-10.572,103.971,Hey There Delilah,33
178,64,0.088,0.851,0.843,0.0665,-5.204,97.047,Mayonesa,70
179,28,0.0627,0.803,0.378,0.103,-8.869,92.015,Harvest,16
180,28,0.807,0.539,0.245,0.118,-15.298,102.246,I Can't Help Remembering You,95
181,54,0.262,0.525,0.929,0.0754,-8.56,163.503,D'yer Mak'er - Remaster,89
182,0,0.0304,0.614,0.838,0.166,-6.896,127.971,Come Save Me,83
183,0,0.153,0.714,0.649,0.15,-5.414,102.006,For You,27
184,79,0.00579,0.494,0.842,0.122,-4.784,162.011,"Sugar, We're Goin Down",43
185,37,0.443,0.807,0.458,0.0827,-4.989,87.081,You Don't Know Me (feat. Regina Spektor),49
186,0,0.0333,0.816,0.761,0.669,-8.756,115.597,My Society,87
187,0,0.00417,0.504,0.96,0.0613,-1.464,96.682,Around The World,13
188,0,0.289,0.433,0.648,0.0895,-8.586,124.885,Akureyri - Skrux Remix,12
189,66,0.00616,0.693,0.822,0.315,-5.441,126.035,I Cry,9
190,48,0.00382,0.354,0.836,0.19,-3.888,165.02,All I Ever Wanted,5
191,5,0.0581,0.64,0.911,0.229,-4.121,81.492,"The Name Game (Vocal Version) [From ""American Horror Story""]",1
192,43,0.00193,0.616,0.671,0.0771,-5.37,123.939,Do It Again,76
193,1,0.195,0.435,0.658,0.102,-8.179,130.276,Total Eclipse of the Heart,12
194,36,0.00208,0.798,0.812,0.954,-6.107,94.547,SHOOK,37
195,0,0.0351,0.203,0.903,0.113,-3.828,158.397,Survive,14
196,0,0.532,0.686,0.373,0.075,-16.007,83.203,Murmuration,11
197,1,0.0649,0.7,0.804,0.0787,-5.537,111.034,Better Than New,27
198,72,0.308,0.868,0.347,0.11,-9.529,110.059,Better Together,33
199,49,0.871,0.633,0.104,0.112,-16.632,127.933,Speed Trap Town,95
