name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Murmuration,156000,0,0.532,0.686,0.373,0.926,0.075,-16.007,0.118,83.203
Better Than New,201500,1,0.0649,0.7,0.804,2.37e-05,0.0787,-5.537,0.0325,111.034
Better Together,207680,72,0.308,0.868,0.347,2e-05,0.11,-9.529,0.0536,110.059
Speed Trap Town,242053,49,0.871,0.633,0.104,4.52e-06,0.112,-16.632,0.034,127.933
When the Levee Breaks - Remaster,428851,51,0.00217,0.271,0.766,0.52,0.0707,-8.03,0.0329,142.914
Wonderwall - Remastered,258732,2,0.000453,0.372,0.865,0,0.234,-4.918,0.0381,174.53
I Forget Where We Were,284442,0,0.449,0.321,0.479,0.12,0.0822,-9.606,0.0327,113.207
Choke Sermon,200546,26,0.000106,0.22,0.982,0.00532,0.259,-2.537,0.249,84.894
All Falls Down (feat. Juliander),199111,67,0.303,0.658,0.678,0,0.361,-4.407,0.058,97.976
Bury Your Heart,214733,39,0.00116,0.508,0.857,3.62e-05,0.0992,-5.182,0.0383,125.95
Horsey (feat. Sarah Bonito),151794,38,0.0154,0.484,0.829,0.000759,0.548,-5.434,0.0996,116.996
No One's Gonna Love You (Stockholm Version),228646,55,0.953,0.599,0.198,0.000127,0.0994,-8.557,0.0581,141.987
Can I Be Him - SJUR Remix,225520,38,0.119,0.572,0.715,0,0.16,-5.712,0.0953,109.763
My Friends,248640,63,0.00565,0.439,0.709,0.00152,0.131,-3.545,0.026,81.331
Memories (feat. Kid Cudi),210840,70,0.00158,0.546,0.898,6.43e-06,0.229,-3.938,0.232,130.002
Not a Virgin,222373,0,0.00988,0.562,0.841,0,0.432,-5.877,0.0497,118.993
Goodbye Stranger,350560,49,0.588,0.422,0.495,0.0167,0.0763,-13.062,0.0614,125.258
Down the Drain,245416,16,0.0791,0.334,0.585,0,0.129,-5.508,0.0395,106.997
J'adore Venise,255036,0,0.149,0.727,0.617,1.31e-06,0.0447,-10.835,0.0372,116.885
Gimme Shelter,270773,76,0.447,0.634,0.63,0.039,0.17,-8.277,0.031,118.628
FEFE (feat. Nicki Minaj & Murda Beatz),179404,3,0.088,0.931,0.387,0,0.136,-9.127,0.412,125.978
Superman,275960,52,0.0268,0.582,0.765,1.95e-06,0.103,-3.648,0.0324,131.982
Hollow Moon (Bad Wolf),258860,52,0.0872,0.753,0.757,0.534,0.176,-5.252,0.033,120.032
Run the World (Girls),236093,74,0.00496,0.733,0.899,4.72e-05,0.372,-4.237,0.143,127.086
American Ride,165693,0,0.0889,0.518,0.906,0,0.309,-2.845,0.0573,174.099
Bad Liar,214647,69,0.189,0.965,0.414,0,0.0767,-6.408,0.0713,121.032
Rocky Top,161226,48,0.14,0.551,0.557,0.000129,0.333,-8.514,0.0298,156.805
